Customer ID,Number of Houses,Avg Size Household,Age,Relationship Status,Household Type,Education Level,House Type,Number of Car Policies,Number of Life Insurance Policies,Purchased?
529229,1,2,50,Married,Without Children,Low,Home Owner,1,0,Yes
926757,1,3,46,Married,With Children,Low,Rented House,0,0,No
475463,1,3,45,Married,With Children,Low,Rented House,0,0,No
900971,1,2,40,Married,Without Children,Low,Rented House,1,0,No
628437,1,1,50,Other Relationship,Without Children,Medium,Rented House,0,0,No
191898,1,2,46,Married,Without Children,Low,Rented House,0,0,No
727051,1,2,40,Married,Without Children,Low,Rented House,0,0,No
854231,1,2,40,Married,With Children,High,Home Owner,1,0,No
379203,1,3,53,Married,Without Children,Low,Rented House,2,0,No
220887,1,2,43,Married,Without Children,Medium,Home Owner,0,0,No
705520,1,3,50,Married,With Children,High,Home Owner,1,0,No
392184,1,3,31,Married,With Children,Low,Rented House,1,1,No
507773,1,2,40,Married,With Children,Low,Home Owner,1,0,No
245345,1,2,47,Married,Without Children,Medium,Rented House,0,0,No
661580,1,3,35,Married,With Children,Low,Rented House,1,0,No
46388,1,3,40,Married,With Children,Medium,Home Owner,0,0,No
238468,1,2,40,Married,With Children,Low,Rented House,1,1,No
99924,1,2,47,Married,Without Children,Medium,Rented House,0,0,No
596587,1,3,50,Married,Without Children,Low,Rented House,0,0,No
733010,1,3,31,Married,With Children,Medium,Rented House,1,0,No
182672,1,4,46,Married,With Children,Low,Home Owner,1,0,No
553974,2,3,39,Married,With Children,Medium,Rented House,1,0,No
177351,1,4,38,Married,With Children,Medium,Home Owner,1,0,Yes
126191,2,3,44,Married,With Children,Medium,Home Owner,2,0,Yes
500242,1,3,42,Married,Without Children,Medium,Home Owner,0,0,No
434865,2,4,48,Married,With Children,Medium,Home Owner,1,0,No
601198,1,3,50,Married,With Children,Low,Home Owner,0,0,No
678412,1,1,49,Other Relationship,With Children,High,Rented House,1,0,No
875783,1,2,44,Married,Without Children,Low,Rented House,0,0,No
365497,1,3,40,Married,With Children,Medium,Rented House,1,0,No
865290,2,2,55,Married,Without Children,Low,Rented House,0,0,No
222116,2,3,44,Married,With Children,Low,Home Owner,1,0,No
848347,1,2,35,Other Relationship,Without Children,Medium,Rented House,0,0,No
475928,1,2,56,Married,Without Children,Medium,Rented House,0,0,No
596544,1,3,41,Married,With Children,Medium,Home Owner,2,0,No
188227,1,2,53,Married,With Children,High,Home Owner,1,0,No
581999,2,3,41,Married,With Children,Low,Home Owner,1,0,No
465313,1,4,46,Married,With Children,Medium,Home Owner,2,0,No
220857,1,3,48,Married,Without Children,Low,Home Owner,1,0,No
668412,1,3,50,Married,With Children,Low,Home Owner,1,0,No
891155,1,2,56,Married,Without Children,Low,Rented House,0,0,No
679014,1,1,40,Singles,Without Children,Low,Rented House,0,0,No
836506,1,3,47,Married,Without Children,Low,Home Owner,2,0,No
9481,1,1,60,Other Relationship,Without Children,Medium,Rented House,1,0,No
278892,1,2,38,Married,With Children,Low,Rented House,0,0,No
797030,2,2,64,Married,With Children,Low,Home Owner,1,0,No
78874,1,4,50,Married,With Children,Low,Rented House,0,0,No
619673,1,3,41,Married,Without Children,Low,Rented House,0,0,No
195479,1,3,49,Married,With Children,Medium,Home Owner,0,0,No
113084,1,3,47,Married,With Children,Low,Home Owner,1,0,No
887483,1,1,46,Other Relationship,Without Children,High,Rented House,2,0,No
343154,1,2,52,Married,Without Children,Medium,Home Owner,1,0,No
141813,1,2,44,Married,With Children,Low,Rented House,1,0,No
86355,2,3,35,Married,With Children,Medium,Rented House,1,0,No
128627,1,2,58,Married,Without Children,Low,Rented House,0,0,No
748861,1,3,39,Married,With Children,Low,Home Owner,0,0,No
235567,1,3,50,Married,With Children,Low,Home Owner,1,0,No
91743,1,2,55,Other Relationship,With Children,Low,Rented House,1,0,No
256558,1,2,34,Married,Without Children,Medium,Rented House,1,0,No
933871,1,2,46,Married,Without Children,Low,Home Owner,0,0,No
446824,1,2,60,Married,Without Children,Medium,Home Owner,0,0,No
165786,2,3,38,Married,With Children,Low,Home Owner,0,0,No
335832,1,2,67,Married,Without Children,Low,Rented House,0,0,No
71074,1,3,36,Married,With Children,High,Rented House,1,0,No
165766,1,3,47,Married,With Children,Medium,Home Owner,1,0,No
220844,1,2,51,Married,Without Children,Low,Rented House,0,0,No
101403,1,3,41,Married,Without Children,Low,Home Owner,0,0,No
171372,1,3,45,Married,With Children,Low,Home Owner,1,0,No
108798,1,3,42,Married,With Children,Low,Home Owner,2,0,Yes
811703,1,2,52,Married,Without Children,Low,Home Owner,0,0,No
70732,1,3,43,Married,Without Children,Medium,Home Owner,1,0,No
478626,1,1,30,Other Relationship,Without Children,Medium,Rented House,0,0,No
440623,1,3,42,Married,Without Children,Medium,Home Owner,1,0,No
691884,2,3,41,Married,Without Children,Low,Rented House,0,0,No
853403,1,3,57,Married,With Children,Medium,Home Owner,1,0,No
70938,1,2,59,Married,Without Children,Low,Rented House,0,0,No
973057,2,3,38,Married,With Children,High,Home Owner,0,0,No
269429,3,2,52,Married,With Children,Medium,Rented House,0,0,No
794914,1,4,39,Married,With Children,Medium,Rented House,1,0,Yes
647408,1,3,45,Married,With Children,Medium,Rented House,1,0,No
3006,1,3,31,Married,Without Children,High,Home Owner,1,1,No
707818,1,1,51,Singles,Without Children,Low,Rented House,0,0,No
460728,1,3,44,Married,With Children,High,Rented House,1,0,No
830875,1,3,42,Married,With Children,Low,Home Owner,0,0,No
385939,1,2,53,Married,Without Children,Low,Rented House,1,0,No
160803,1,2,58,Married,With Children,Low,Rented House,0,1,No
408359,1,2,41,Married,With Children,Low,Home Owner,0,0,No
413140,1,2,54,Singles,With Children,High,Home Owner,0,0,No
2392,1,3,31,Married,With Children,Low,Rented House,0,0,No
446900,1,2,56,Other Relationship,Without Children,Low,Rented House,1,0,No
787329,1,4,32,Married,With Children,Medium,Home Owner,1,0,No
966719,2,4,44,Married,With Children,Low,Home Owner,1,0,No
421867,1,1,34,Other Relationship,Without Children,High,Rented House,2,0,No
534972,1,2,57,Married,Without Children,Low,Rented House,1,0,No
92735,1,3,42,Married,With Children,Low,Home Owner,1,0,No
174833,1,5,38,Married,With Children,Medium,Home Owner,1,0,No
362419,1,2,48,Married,Without Children,Low,Home Owner,0,0,No
286365,1,3,30,Married,With Children,Low,Rented House,0,0,No
